	VendorID	tpep_pickup_datetime	tpep_dropoff_datetime	passenger_count	pickup_longitude	pickup_latitude	RatecodeID	store_and_fwd_flag	dropoff_longitude	dropoff_latitude	payment_type	fare_amount	extra	mta_tax	tip_amount	tolls_amount	improvement_surcharge	total_amount
0	1	2016-03-01 00:00:00	2016-03-01 00:07:55	1	-73.976746	40.765152	1	N	-74.004265	40.746128	1	9.0	0.5	0.5	2.05	0.00	0.3	12.35
1	1	2016-03-01 00:00:00	2016-03-01 00:11:06	1	-73.983482	40.767925	1	N	-74.005943	40.733166	1	11.0	0.5	0.5	3.05	0.00	0.3	15.35
2	2	2016-03-01 00:00:00	2016-03-01 00:31:06	2	-73.782021	40.644810	1	N	-73.974541	40.675770	1	54.5	0.5	0.5	8.00	0.00	0.3	63.80
3	2	2016-03-01 00:00:00	2016-03-01 00:00:00	3	-73.863419	40.769814	1	N	-73.969650	40.757767	1	31.5	0.0	0.5	3.78	5.54	0.3	41.62
4	2	2016-03-01 00:00:00	2016-03-01 00:00:00	5	-73.971741	40.792183	3	N	-74.177170	40.695053	1	98.0	0.0	0.0	0.00	15.50	0.3	113.80
...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...
212340	2	2016-03-01 12:15:37	2016-03-01 12:38:53	1	-73.955688	40.782261	1	N	-73.974915	40.751282	1	16.0	0.0	0.5	3.36	0.00	0.3	20.16
212341	2	2016-03-01 12:15:37	2016-03-01 12:38:22	1	-74.002197	40.715042	1	N	-73.976295	40.739609	1	15.5	0.0	0.5	2.00	0.00	0.3	18.30
212342	2	2016-03-01 12:15:37	2016-03-01 12:18:18	1	-73.991173	40.733170	1	N	-73.994324	40.728531	1	4.0	0.0	0.5	0.00	0.00	0.3	4.80
212343	1	2016-03-01 12:15:38	2016-03-01 12:22:47	2	-73.972099	40.786446	1	N	-73.955872	40.779755	2	7.0	0.0	0.5	0.00	0.00	0.3	7.80
212344	1	2016-03-01 12:15:38	2016-03-01 12:34:59	1	-73.988770	40.712662	1	N	-73.944550	40.782276	2	20.5	0.0	0.5	0.00	0.00	0.3	21.30
212345 rows × 18 columns
